 Campaign_ID ,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks ,Spend,Conversions,Active,Clicks,Campaign_Tag
CMP-00001,Q4_Summer_CMP-00001,11/24/2023 0:00,12/13/2023,TikTok,16795,197,$102.82 ,20,Y,,TI
CMP-00002,Q1_Launch_CMP-00002,5/6/2023 0:00,5/12/2023,Facebook,1860,30,24.33,1,0,,FA
CMP-00003,Q3_Winter_CMP-00003,12/13/2023 0:00,12/20/2023,Email,77820,843,1323.39,51,No,,EM
CMP-00004,Q1_BlackFriday_CMP-00004,10/30/2023,11/3/2023,TikTok,55886,2019,2180.38,135,TRUE,,TI
CMP-00005,Q2_Winter_CMP-00005,4/22/2023 0:00,4/23/2023,Facebook,7265,169,252.44,30,Yes,,FA
CMP-00006,Q4_BlackFriday_CMP-00006,10/15/2023 0:00,10/28/2023,Instagram,83386,2643,2697.03,,1,,IN
CMP-00007,Q3_Launch_CMP-00007,10/7/2023 0:00,10/23/2023,Facebook,38194,1135,1232.76,178,Yes,,FA
CMP-00008,Q4_Launch_CMP-00008,5/23/2023,5/28/2023,Instagram,88498,1173,865.7,127,1,,IN
CMP-00009,Q4_BlackFriday_CMP-00009,3/23/2023 0:00,4/1/2023,Google Ads,45131,1179,1046.18,104,1,,GO
CMP-00010,Q2_Winter_CMP-00010,3/21/2023 0:00,4/1/2023,Email,61263,1153,1623.56,,0,,EM
CMP-00011,Q4_Launch_CMP-00011,22/02/2023,3/1/2023,Instagram,17023,455,523.13,76,1,,IN
CMP-00012,Q4_Launch_CMP-00012,2/19/2023 0:00,2/20/2023,Google Ads,42090,763,1267.69,109,FALSE,,GO
CMP-00013,Q2_Launch_CMP-00013,5/16/2023 0:00,6/1/2023,Google Ads,68221,2975,5292.16,567,No,,GO
CMP-00014,Q1_Launch_CMP-00014,10/2/2023 0:00,10/15/2023,TikTok,65820,1116,1464.72,169,Y,,TI
CMP-00015,Q2_Summer_CMP-00015,2/10/2023 0:00,2/16/2023,Google Ads,1769,85,139.18,11,Yes,,GO
CMP-00016,Q2_BlackFriday_CMP-00016,11/13/2023 0:00,11/23/2023,E-mail,60735,1617,1552.9,228,Y,,E-
CMP-00017,Q1_Winter_CMP-00017,4/9/2023,10/1/2023,Email,63955,2804,3147.37,536,No,,EM
CMP-00018,Q1_BlackFriday_CMP-00018,4/27/2023 0:00,5/25/2023,Instagram,65925,2317,3635.76,389,TRUE,,IN
CMP-00019,Q4_Winter_CMP-00019,4/30/2023 0:00,5/18/2023,Facebook,68969,2718,2933.59,145,No,,FA
CMP-00020,Q1_Summer_CMP-00020,8/21/2023 0:00,8/30/2023,Email,6311,256,353.99,,Yes,,INVALID
CMP-00021,Q3_BlackFriday_CMP-00021,7/9/2023 0:00,7/17/2023,Facebook,84104,2539,1975.49,,Y,,FA
CMP-00022,Q2_BlackFriday_CMP-00022,12/26/2023 0:00,1/2/2024,Google Ads,54707,1735,"$2,428.40 ",,Y,,GO
CMP-00023,Q4_Winter_CMP-00023,11/8/2023 0:00,11/24/2023,Google Ads,86305,2637,"$4,726.22 ",216,0,86385,GO
CMP-00024,Q4_Winter_CMP-00024,5/6/2023 0:00,5/1/2023,Instagram,29693,995,1793.94,179,0,,IN
CMP-00025,Q2_Winter_CMP-00025,11/24/2023 0:00,12/18/2023,Email,72932,815,1293.01,157,No,,EM
CMP-00026,Q1_Winter_CMP-00026,6/16/2023 0:00,7/2/2023,Google Ads,94016,2427,3928.42,207,No,,GO
CMP-00027,Q1_Winter_CMP-00027,4/28/2023 0:00,5/12/2023,TikTok,26658,912,1219.24,166,TRUE,,TI
CMP-00028,Q4_Summer_CMP-00028,7/25/2023 0:00,8/8/2023,Email,85478,2898,3990.55,187,1,,EM
CMP-00029,Q4_BlackFriday_CMP-00029,10/18/2023 0:00,11/15/2023,Instagram,19431,810,567.39,47,Yes,,IN
CMP-00030,Q1_Summer_CMP-00030,12/2/2023 0:00,12/8/2023,Instagram,3747,135,157.38,9,0,,IN
CMP-00031,Q1_Launch_CMP-00031,11/26/2023 0:00,12/12/2023,Google Ads,60150,2988,3514.38,175,Yes,,GO
CMP-00032,Q2_Summer_CMP-00032,5/7/2023 0:00,5/29/2023,Instagram,66725,1424,"$2,759.35 ",251,TRUE,,IN
CMP-00033,Q2_BlackFriday_CMP-00033,10/27/2023 0:00,10/29/2023,Instagram,85654,2087,"$2,393.02 ",122,0,,IN
CMP-00034,Q2_Summer_CMP-00034,7/5/2023 0:00,7/17/2023,Facebook,36773,932,1233.98,84,0,,FA
CMP-00035,Q2_Summer_CMP-00035,9/18/2023 0:00,9/22/2023,Instagram,68435,1959,2546.46,128,1,,IN
CMP-00036,Q1_Launch_CMP-00036,2/26/2023 0:00,3/1/2023,TikTok,57886,2514,3658.23,237,Yes,,TI
CMP-00037,Q2_Winter_CMP-00037,12/15/2023,12/26/2023,Instagram,67803,1317,"$2,136.63 ",83,Yes,,IN
